stim,estimate,RT
1,55.3333333333333,4.12879232666455
4,28.4166666666667,3.18004202493466
2,48.6666666666667,2.6307199888397
3,29.9166666666667,2.69739061803557
4,23.75,2.41461252397858
2,52.8333333333333,1.83165705273859
1,68.6666666666667,2.64757007383741
3,28.9166666666667,2.81441494380124
1,71.0833333333333,2.26441096910276
3,28.9166666666667,2.1144260300789
2,60.9166666666667,4.4795367338229
4,28.6666666666667,2.91401044861414
4,29,2.01537352357991
3,30.9166666666667,2.21486721164547
1,72.4166666666667,2.41429452900775
2,69.75,4.37946824822575
1,68.3333333333333,4.76282938173972
4,25.6666666666667,2.83118151896633
2,55.9166666666667,2.1978420834057
3,49.5833333333333,3.26359337195754
3,49.6666666666667,5.5952456840314
4,30.5833333333333,1.9651299584657
2,56.75,1.84846738842316
1,62.3333333333333,2.56443263078108
2,54.8333333333333,1.89839733461849
1,65.1666666666667,1.98143631592393
4,35.1666666666667,13.2214688886888
3,47.6666666666667,5.29585417755879
1,61.9166666666667,3.74690191983245
4,34.8333333333333,3.64656248199753
3,44.6666666666667,1.81453163945116
2,54.3333333333333,1.61577495583333
1,89.9166666666667,8.00977688562125
3,19.8333333333333,3.63018537778407
2,90,2.74711452424526
4,39.8333333333333,5.14572774525732
2,90.1666666666667,3.46382734621875
4,19.8333333333333,3.49661984504201
3,19.75,2.76495506148785
1,90,3.14704603864811
4,39.8333333333333,4.99604475568049
1,90.1666666666667,1.83203376014717
3,19.8333333333333,2.84745542053133
2,90.0833333333333,2.76448572683148
2,90.0833333333333,2.98069821763784
4,20,4.16239111777395
1,90,2.23125233850442
3,20.0833333333333,3.1306379372254
2,69.9166666666667,5.94477609428577
3,39.75,5.11191562050954
4,60.0833333333333,3.23050220590085
1,49.75,2.58088558679447
1,49.6666666666667,3.36399042815901
3,39.9166666666667,1.8651201853063
4,59.9166666666667,1.4154797163792
2,69.5,1.56478855153546
4,59.4166666666667,1.79820376611315
2,70,1.798112598015
3,40,1.8150162899401
1,49.5833333333333,2.1648581312038
1,50.4166666666667,1.58202446065843
4,60.1666666666667,2.09801063523628
3,39.9166666666667,1.5320791983977
2,69.8333333333333,1.68162871757522
1,70,15.0197787748184
2,59.9166666666667,6.79393599694595
3,54.5,3.33072203095071
4,39.9166666666667,4.67839260865003
1,74,3.36373734474182
2,59.8333333333333,5.82829586067237
4,54.3333333333333,2.3980162513908
3,50.4166666666667,3.21355402376503
1,72.5833333333333,3.46400275407359
3,55.8333333333333,7.94323425646871
4,42.4166666666667,5.27873022272252
2,61.0833333333333,2.3479995126836
2,60.5,3.91333981486969
4,51.75,4.41305609908886
1,71.4166666666667,2.16430601617321
3,45.6666666666667,2.94757021963596
1,66.5833333333333,9.49227476515807
2,91.1666666666667,2.9473171364516
3,43.25,8.70872210524976
4,21.9166666666667,3.46309544728138
3,42.8333333333333,10.5072588180192
2,91,2.69785885838792
1,62.25,1.89894434437156
4,27.75,1.84787297132425
3,41.25,1.74855498271063
4,31.3333333333333,1.99840309633873
2,90,2.53102383413352
1,63.75,2.18128410144709
4,27.0833333333333,2.63086111727171
1,61.9166666666667,2.98043455905281
2,90.8333333333333,2.18119147443213
3,45,3.84649231890216
2,80.25,5.57905529253185
4,29.5,2.963130091317
3,50.3333333333333,5.42884243256412
1,39.75,3.34719650261104
4,29.9166666666667,2.41420408990234
3,39.8333333333333,1.78157868422568
1,39.75,2.44781783269718
2,80,2.24824938667007
4,29.6666666666667,2.04809782863595
2,60.4166666666667,2.96380254859105
3,39.9166666666667,3.53012345638126
1,39.6666666666667,1.59828304615803
4,29.9166666666667,2.24833253212273
1,39.6666666666667,1.99786046310328
3,39.6666666666667,1.66511559044011
2,59.9166666666667,2.23199043679051
4,40.1666666666667,19.4494763659313
1,60.25,2.98077881056815
2,70.4166666666667,1.96426203660667
3,29.6666666666667,2.963948053075
1,69.9166666666667,3.43043970083818
3,34.1666666666667,14.6707516130991
4,41.3333333333333,3.19739937013946
2,75,3.01415077480488
2,76.25,3.56369781424291
4,39.6666666666667,4.74566458375193
1,73.8333333333333,2.26469103805721
3,33.9166666666667,4.92935552773997
3,31.1666666666667,2.98049472994171
2,79.0833333333333,1.99859527940862
1,74.5,9.25788404978812
4,35.5,5.09547178121284
